"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\App.tsx", "TypeScript JSX", 0, 48, 0, 0, 3, 51
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\components\CompleteData.tsx", "TypeScript JSX", 0, 223, 0, 0, 33, 256
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\components\EditWorkout.tsx", "TypeScript JSX", 0, 223, 0, 2, 28, 253
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\components\ExerciseSelect.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\components\MainLayout.tsx", "TypeScript JSX", 0, 12, 0, 0, 2, 14
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\components\Navbar.tsx", "TypeScript JSX", 0, 87, 0, 2, 5, 94
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\components\NutritionCard.tsx", "TypeScript JSX", 0, 34, 0, 1, 6, 41
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\components\UserDetails.tsx", "TypeScript JSX", 0, 107, 0, 3, 13, 123
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\components\UserWorkoutForm.tsx", "TypeScript JSX", 0, 106, 0, 4, 17, 127
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\components\WorkOutDetails.tsx", "TypeScript JSX", 0, 65, 0, 0, 11, 76
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\context\AuthContext.tsx", "TypeScript JSX", 0, 41, 0, 1, 10, 52
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\context\WorkoutContext.tsx", "TypeScript JSX", 0, 115, 0, 0, 18, 133
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\index.css", "PostCSS", 0, 0, 3, 0, 1, 4
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\main.tsx", "TypeScript JSX", 0, 15, 0, 0, 2, 17
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\pages\AddExercise.tsx", "TypeScript JSX", 0, 142, 0, 5, 20, 167
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\pages\AddNutritionProgram.tsx", "TypeScript JSX", 0, 216, 0, 0, 22, 238
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\pages\AddWorkOut.tsx", "TypeScript JSX", 0, 281, 0, 3, 49, 333
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\pages\EditNutrition.tsx", "TypeScript JSX", 0, 227, 0, 0, 25, 252
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\pages\ExerciseDetails.tsx", "TypeScript JSX", 0, 166, 0, 1, 20, 187
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\pages\Exercises.tsx", "TypeScript JSX", 0, 60, 0, 1, 23, 84
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\pages\Home.tsx", "TypeScript JSX", 0, 35, 0, 5, 7, 47
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\pages\Login.tsx", "TypeScript JSX", 0, 67, 0, 0, 13, 80
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\pages\NutritionList.tsx", "TypeScript JSX", 0, 45, 0, 2, 8, 55
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\pages\SignUp.tsx", "TypeScript JSX", 0, 90, 0, 0, 10, 100
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\pages\UserWorkout.tsx", "TypeScript JSX", 0, 63, 0, 2, 8, 73
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\pages\UsersPage.tsx", "TypeScript JSX", 0, 77, 0, 0, 11, 88
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\pages\WorkOuts.tsx", "TypeScript JSX", 0, 84, 0, 6, 12, 102
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\types\Nutrition.d.ts", "TypeScript", 17, 0, 0, 1, 3, 21
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\types\exercise.d.ts", "TypeScript", 9, 0, 0, 0, 1, 10
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\types\user.d.ts", "TypeScript", 17, 0, 0, 0, 2, 19
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\types\workout.d.ts", "TypeScript", 25, 0, 0, 0, 4, 29
"c:\Users\eeli5\Desktop\myProjects\Fitness\FTWebApp\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"Total", "-", 68, 2629, 3, 40, 389, 3129
